2025-12-22 18:24:19 - okn_wobd.rdf_converter - WARNING - Invalid URI format (no valid URI found): '5M01RR018535-08' [Context: dataset_id=sdy474, entity_type=MonetaryGrant, field=identifier]
2025-12-22 18:24:19 - okn_wobd.rdf_converter - WARNING - Invalid URI format (no valid URI found): '1U19AI090019-01' [Context: dataset_id=sdy515, entity_type=MonetaryGrant, field=identifier]
2025-12-22 18:24:19 - okn_wobd.rdf_converter - WARNING - Invalid URI format (no valid URI found): '1U19AI089987-01' [Context: dataset_id=sdy522, entity_type=MonetaryGrant, field=identifier]
2025-12-22 18:24:19 - okn_wobd.rdf_converter - WARNING - Invalid URI format (no valid URI found): 'N/A1' [Context: dataset_id=sdy546, entity_type=MonetaryGrant, field=identifier]
2025-12-22 18:24:19 - okn_wobd.rdf_converter - WARNING - Invalid URI format (no valid URI found): 'N/A1' [Context: dataset_id=sdy565, entity_type=MonetaryGrant, field=identifier]
2025-12-22 18:24:19 - okn_wobd.rdf_converter - WARNING - Invalid URI format (no valid URI found): '1U01AI090909-01' [Context: dataset_id=sdy570, entity_type=MonetaryGrant, field=identifier]
2025-12-22 18:24:19 - okn_wobd.rdf_converter - WARNING - Invalid URI format (no valid URI found): '1U01AI063594-01' [Context: dataset_id=sdy571, entity_type=MonetaryGrant, field=identifier]
2025-12-22 18:24:19 - okn_wobd.rdf_converter - WARNING - Invalid URI format (no valid URI found): '1U19AI117673-01' [Context: dataset_id=sdy616, entity_type=MonetaryGrant, field=identifier]
2025-12-22 18:24:19 - okn_wobd.rdf_converter - WARNING - Invalid URI format (no valid URI found): 'HHSN272201100018C ' [Context: dataset_id=sdy622, entity_type=MonetaryGrant, field=identifier]
2025-12-22 18:24:19 - okn_wobd.rdf_converter - WARNING - Invalid URI format (no valid URI found): 'HHSN272201100017C ' [Context: dataset_id=sdy652, entity_type=MonetaryGrant, field=identifier]
2025-12-22 18:24:19 - okn_wobd.rdf_converter - WARNING - Invalid URI format (no valid URI found): 'MoD' [Context: dataset_id=sdy673, entity_type=MonetaryGrant, field=identifier]
2025-12-22 18:24:19 - okn_wobd.rdf_converter - WARNING - Invalid URI format (no valid URI found): '1U19AI089987-01' [Context: dataset_id=sdy690, entity_type=MonetaryGrant, field=identifier]
2025-12-22 18:24:19 - okn_wobd.rdf_converter - WARNING - Invalid URI format (no valid URI found): 'HHSN272201100017C ' [Context: dataset_id=sdy736, entity_type=MonetaryGrant, field=identifier]
2025-12-22 18:24:19 - okn_wobd.rdf_converter - WARNING - Invalid URI format (no valid URI found): '1U19AI089987-01' [Context: dataset_id=sdy74, entity_type=MonetaryGrant, field=identifier]
2025-12-22 18:24:19 - okn_wobd.rdf_converter - WARNING - Invalid URI format (no valid URI found): 'HHSN266200700008C' [Context: dataset_id=sdy78, entity_type=MonetaryGrant, field=identifier]
2025-12-22 18:24:19 - okn_wobd.rdf_converter - WARNING - Invalid URI format (no valid URI found): 'HHSN272201000054C' [Context: dataset_id=sdy789, entity_type=MonetaryGrant, field=identifier]
2025-12-22 18:24:19 - okn_wobd.rdf_converter - WARNING - Invalid URI format (no valid URI found): '1U19AI118626-01' [Context: dataset_id=sdy820, entity_type=MonetaryGrant, field=identifier]
2025-12-22 18:24:19 - okn_wobd.rdf_converter - WARNING - Invalid URI format (no valid URI found): '1R01CA130826-01' [Context: dataset_id=sdy827, entity_type=MonetaryGrant, field=identifier]
2025-12-22 18:24:19 - okn_wobd.rdf_converter - WARNING - Invalid URI format (no valid URI found): '1U19AI089987-01' [Context: dataset_id=sdy89, entity_type=MonetaryGrant, field=identifier]
2025-12-22 18:24:19 - okn_wobd.rdf_converter - WARNING - Invalid URI format (no valid URI found): '5R01CA195740-02' [Context: dataset_id=sdy901, entity_type=MonetaryGrant, field=identifier]
